YEAR,Sponsor Name,Prev Year Revenue,Current Year Revenue,Total Profit,Growth
2018,Coca Cola,32.88,35.41,2.53,yes
2018,McDonald's,22.82,21.02,-1.8,no
2018,Foot Locker,7.68,7.87,0.19,yes
2018,AT&T,160.54,170.75,10.21,yes
2018,Michelob Ultra,56.44,54.27,-2.17,no
2018,Samsung,214.57,221.67,7.1,yes
2018,State Farm,78.3,81.7,3.4,yes
2018,Johnson&Johnson,76.45,81.58,5.13,yes
2018,Pizza Hut,5.9,5.7,-0.2,no
2018,Goodyear,18.13,15.47,-2.66,no
2018,Taco Bell,0.47,0.5,0.03,yes
2018,Infosys,10.7,11.54,0.84,yes
2018,American express,36.01,40.31,4.3,yes
2018,Delta Air Lines,41.15,44.43,3.28,yes
2018,Facebook,39.94,55.01,15.07,yes
2018,Twitter,2.44,3.04,0.6,yes
2018,Capital One,27.23,27.57,0.34,yes
2018,Google,110.85,136.81,25.96,yes
2018,Haier,23.91,27.39,3.48,yes
2018,Kia motors,47.86,49.21,1.35,yes
2018,Lenovo,44.29,49.96,5.67,yes
2018,Nike,34.73,38.09,3.36,yes
2018,Panasonic,70.41,73.99,3.58,yes
2018,Under Armour,4.98,5.19,0.21,yes
2018,Verizon,126.03,130.86,4.83,yes
2018,Logitech,2.48,2.75,0.27,yes
2018,Keurig Dr Pepper,6.69,7.44,0.75,yes
2018,Cisco,47.78,50.26,2.48,yes
2018,EA Sports,5.09,5.29,0.2,yes
2018,ExxonMobil,237.116,279.332,42.216,yes
2018,Hanes,6.471,6.804,0.333,yes
2018,Master Card,12.497,14.95,2.453,yes
2018,Twitch,0.3,0.88,0.58,yes
2018,Yum! ,5.87,5.68,-0.19,no
2018,Western Union,5.52,5.59,0.07,yes
2018,PepsiCo,63.52,64.66,1.14,yes
2018,Wilson,0.8,0.77,-0.03,no
2018,Hershey's,7.515,7.791,0.276,yes
2018,PayPal,13.09,15.45,2.36,yes
2018,Tencent,35.53,46.91,11.38,yes
2018,T-Mobile,40.6,43.31,2.71,yes
2018,Ups,66.43,71.86,5.43,yes
2019,Puma,5.46,6.14,0.68,yes
2019,Nike,38.09,40.78,2.69,yes
2019,Timberland,1.39,3.1,1.71,yes
2019,Under Armour,5.19,5.26,0.07,yes
2019,Kia motors,49.21,49.98,0.77,yes
2019,PepsiCo,64.66,67.16,2.5,yes
2019,American express,40.31,43.55,3.24,yes
2019,State Farm,81.7,79.35,-2.35,no
2019,Kaiser Permanente,1.58,1.51,-0.07,no
2019,AT&T,181.19,171.76,-9.43,no
2019,EA Sports,5.29,5.38,0.09,yes
2019,SAP,28.97,30.81,1.84,yes
2019,Autotrader,0.438,0.466,0.028,yes
2019,ExxonMobil,279.332,264.94,-14.392,no
2019,Taco Bell,0.5,0.51,0.01,yes
2019,Wilson,0.77,0.56,-0.21,no
2019,Google,136.81,161.85,25.04,yes
2019,Coca Cola,37.26,32.88,-4.38,no
2019,McDonald's,21.02,21.28,0.26,yes
2019,Infosys,11.54,12.64,1.1,yes
2019,TCL,5.3,10.88,5.58,yes
2019,Foot Locker,7.87,8.05,0.18,yes
2019,Tencent,46.91,54.47,7.56,yes
2019,Microsoft,118.45,134.24,15.79,yes
2019,StubHub,8.7,7.4,-1.3,no
2019,Rakuten,9.98,11.59,1.61,yes
2019,Michelob Ultra,54.27,52.33,-1.94,no
2019,Caesars sportsbook,2.05,2.52,0.47,yes
2020,DoorDash,,2.88,2.88,yes
2020,State Farm,79.395,78.9,-0.495,no
2020,SAP,30.81,31.72,0.91,yes
2020,Michelob ultra,52.33,46.88,-5.45,no
2020,Adidas,63.63,71.47,7.84,yes
2020,Kia motors,49.98,50.94,0.96,yes
2020,American express,43.55,36.17,-7.38,no
2020,Wilson,0.56,0.45,-0.11,no
2020,Coca Cola,33.01,37.26,4.25,yes
2020,FanDuel,0.49,0.89,0.4,yes
2020,PepsiCo,67.16,70.37,3.21,yes
2020,Ticketmaster,11.5,1.9,-9.6,no
2020,Foot Locker,8.05,7.58,-0.47,no
2020,Under Armour,5.26,4.47,-0.79,no
2020,AT&T,181.19,171.76,-9.43,no
2020,Caesars Sportsbook,2.52,3.54,1.02,yes
2020,Puma,6.14,6.09,-0.05,no
2020,Draftkings,,0.61,0.61,yes
2020,Rakuten,11.59,13.74,2.15,yes
2020,Google,161.85,182.52,20.67,yes
2020,Carmax,19.67,18.74,-0.93,no
2020,Microsoft,134.24,153.28,19.04,yes
2020,Nike,40.78,38.25,-2.53,no
2020,EA sports,5.38,5.67,0.29,yes
2021,Puma,6.09,7.91,1.82,yes
2021,Visa,21.846,24.105,2.259,yes
2021,Servicenow,4.51,5.89,1.38,yes
2021,SAP,31.72,32.35,0.63,yes
2021,State Farm,78.9,87.6,8.7,yes
2021,Google,181.69,256.74,75.05,yes
2021,Microsoft,153.28,184.9,31.62,yes
2021,Mastercard,15.301,18.88,3.579,yes
2021,PepsiCo,70.37,79.47,9.1,yes
2021,Nike,38.25,46.3,8.05,yes
2021,Under Armour,4.47,5.68,1.21,yes
2021,Kia motors,50.94,60.26,9.32,yes
2021,Coca Cola,38.65,33.01,-5.64,no
2021,Kaiser Permanente,1.17,2.62,1.45,yes
2021,Taco Bell,0.49,0.48,-0.01,no
2021,Wilson,0.45,0.45,0,no
2021,Adidas,71.47,55.08,-16.39,no
2021,Disney,60.76,72.98,12.22,yes
2021,ExxonMobil,181.5,276.69,95.19,yes
2021,Goodyear,12.32,17.47,5.15,yes
2021,AT&T,171.76,151.56,-20.2,no
2021,Warner Bros,10.67,12.19,1.52,yes
2021,Michelob ultra,46.88,54.3,7.42,yes
2021,Lenovo,55.69,70.55,14.86,yes
2021,Mattel,4.38,5.45,1.07,yes
2021,Lowe's,90,89.57,-0.43,no
2021,Scotiabank,32.529,31.237,-1.292,no
2021,Mondelez,26.58,28.72,2.14,yes
2021,LegalZoom,0.47,0.57,0.1,yes
2021,EA sports,5.67,6.51,0.84,yes
2021,Louis Vuitton,76,83.48,7.48,yes
2021,Amazon,386.06,469.82,83.76,yes
2021,Verizon,128.29,133.61,5.32,yes
2021,BetMGM,8.8,9.68,0.88,yes
2021,Clorox,7.52,7.08,-0.44,no
2021,FanDuel,0.89,1.99,1.1,yes
2021,MoetHennessy,44.61,69.9,25.29,yes
2021,Rakuten,13.74,15,1.26,yes
2021,Ticketmaster,1.9,6.3,4.4,yes
2021,MetLife,67.88,67.26,-0.62,no
2021,United Airlines,15.35,24.63,9.28,yes
2021,Turner Sports,,,,no
2021,Twitter,3.71,5.07,1.36,yes
2021,Meta,85.96,117.92,31.96,yes
2021,Hulu,4.4,5.8,1.4,yes
2021,Facebook,84.17,117.93,,no
2021,Instagram,26.8,47.6,20.8,yes
2021,Walmart,548.74,571.96,23.22,yes
2021,Foot Locker,7.58,8.8,1.22,yes
2021,T-Mobile,68.39,80.11,,no
2021,FedEx,74.72,89.55,14.83,yes
2021,Discover,12.95,13.221,0.271,yes
2021,PlayStation,24,24.6,0.6,yes
2021,Triscuit,26.58,28.72,2.14,yes
2021,ESPN,60.76,72.98,12.22,yes
2021,Hyundai,89.48,101.4,11.92,yes
2022,Louis Vuitton,85.937,69.691,-16.246,no
2022,Goodyear,17.47,20.8,3.33,yes
2022,DoorDash,4.88,6.58,1.7,yes
2022,Goldman Sachs,59.33,47.36,-11.97,no
2022,Caesars Sportsbook,9.57,10.82,1.25,yes
2022,ServiceNow,5.89,7.24,1.35,yes
2022,SAP,32.35,31.47,-0.88,no
2022,Hisense,7.24,6.74,-0.5,no
2022,Toyota,276.57,267.02,-9.55,no
2022,Verizon,133.61,136.83,3.22,yes
2022,Coca Cola,43,38.65,-4.35,no
2022,Ford,136.34,158.05,21.71,yes
2022,Comcast,116.38,121.42,5.04,yes
2022,Progressive,47.67,49.58,1.91,yes
2022,Nexen Tire,2.08,2.6,0.52,yes
2022,Chime,0.95,1.85,0.9,yes
2022,Taco Bell,0.48,,-0.48,no
2022,Kaiser Permanente,2.62,3.42,0.8,yes
2022,Kumho tire,1.945,2.662,0.717,yes
2022,New era,1.2,2.9,1.7,yes
2022,AT&T,151.96,120.74,-31.22,no
2022,You Tube TV,29.2,28.8,-0.4,no
2022,BetMGM,0.846,1.44,0.594,yes
2022,DraftKings,1.29,2.24,0.95,yes
2022,Puma,7.91,8.89,0.98,yes
2022,Rakuten,15,14.45,-0.55,no
2022,CarMax,29.37,31.64,2.27,yes
2022,Microsoft,184.9,204.09,19.19,yes
2022,New Balance,4.4,5.3,0.9,yes
2022,Adidas,55.08,24.82,-30.26,no
2022,Nike,46.3,49.1,2.8,yes
2022,EA sports,6.51,7.37,0.86,yes
2022,American express,43.14,52.56,9.42,yes
2022,Under Armour,5.68,5.8,0.12,yes
2022,State Farm,82.2,89.3,7.1,yes
2022,Moet Hennessy,69.9,86.5,16.6,yes
2022,Coinbase,7.83,3.19,-4.64,no
2022,Getty,0.69,0.92,0.23,yes
2022,LegalZoom,0.57,0.62,0.05,yes
2022,Mondelez,28.72,31.49,2.77,yes
2022,Sony,88.05,76.58,-11.47,no
2022,Sportrader,0.73,0.561,-0.169,no
2022,Kia,60.26,66.53,6.27,yes
2022,TCS,24.93,27.18,2.25,yes
2022,Infosys,15.64,17.93,2.29,yes
2022,Budweiser,54.3,57.78,3.48,yes
2022,Michelob ultra,54.3,57.78,3.48,yes
2022,Pepsi,79.87,86.39,6.52,yes
2022,Starbucks,30.36,32.91,2.55,yes
2022,Capital one,30.43,34.25,3.82,yes
2022,Chase,0.3,0.35,0.05,yes
2022,USAA,37.5,36,-1.5,no
2022,Humana,83.06,92.87,9.81,yes
2022,UnitedHealthcare,287.59,324.16,36.57,yes
2022,Aetna,82.9,91.4,8.5,yes
2022,Cigna,174.29,180.06,5.77,yes
2022,CVS Health,292.11,322.46,30.35,yes
2022,FedEx,89.55,94.09,4.54,yes
2022,UPS,97.28,100.33,3.05,yes
2022,Google Cloud,19.206,26.28,7.074,yes
2022,Oracle,41.4,46.07,4.67,yes
2022,IBM,43.91,60.52,16.61,yes
2022,Cisco,50.78,52.28,1.5,yes
2022,HP,1.38,2.36,0.98,yes
2022,Dell,99.31,99.45,0.14,yes
2022,Lenovo,70.55,66,-4.55,no
2022,Samsung,240.71,233.13,-7.58,no
2022,LG Electronics,64,64.41,0.41,yes
2022,Sony,88.05,76.58,-11.47,no
2022,Twitter,5.07,5.22,0.15,yes
2022,Facebook,117.93,120.18,2.25,yes
2022,Instagram,47.6,51.4,3.8,yes
2022,TikTok,1.578,2.864,1.286,yes
2022,Snapchat,4.117,4.601,0.484,yes
2022,You Tube,28.8,29.2,0.4,yes
2022,Twitch,2.67,2.8,0.13,yes
2022,Hulu,9.6,10.7,1.1,yes
2022,ESPN,72.98,84.1,11.12,yes
2022,KPMG,34.64,32.13,-2.51,no
2022,Aramark,12.1,16.3,4.2,yes
2022,Delta Air Lines,29.9,50.58,20.68,yes
2022,Mattel,5.45,5.43,-0.02,no
2022,Accenture,53.73,62.37,8.64,yes
2022,PayPal,25.37,27.51,2.14,yes
2022,Workday,4.89,5.94,1.05,yes
2022,Warner Bros,12.19,33.81,21.62,yes
2022,Amazon,469.82,513.98,44.16,yes
2022,Citizens,0.25,0.23,-0.02,no
2022,Ally Financial,8.78,9.24,0.46,yes
2022,Intuit,10.31,13.31,3,yes
2022,Keurig Dr Pepper,12.68,14.05,1.37,yes
2022,Marathon petroleum,119.98,177.45,57.47,yes
2022,MoneyGram,1.28,1.31,0.03,yes
2022,Nestle,95.73,102.59,6.86,yes
2022,Procter & Gamble,78.34,80.28,1.94,yes
2022,Unilever,6.85,7.36,0.51,yes
2022,Yum! ,6.58,6.84,0.26,yes
2022,Western Union,5.07,4.48,-0.59,no
2022,Wells Fargo,78.49,73.99,-4.5,no
2022,Adobe,15.78,17.6,1.82,yes
2022,Ring central,1.59,1.98,0.39,yes
2022,Webull,5.78,7.9,2.12,yes
2022,Motorola,8.17,9.11,0.94,yes
2022,BSE Global,93.15,99.6,6.45,yes
2023,Rakuten,14.45,14.78,0.33,yes
2023,Webull,7.9,8.58,0.68,yes
2023,Bibigo,31.47,31.58,0.11,yes
2023,You Tube TV,29.2,31.5,2.3,yes
2023,Foot Locker,8.76,8.13,-0.63,no
2023,Microsoft,204.09,227.58,23.49,yes
2023,State Farm,89.3,104.2,14.9,yes
2023,Kia motors,66.54,75.37,8.83,yes
2023,PepsiCo,86.39,91.47,5.08,yes
2023,Spalding,2,1.3,-0.7,no
2023,AT&T,120.74,121.74,1,yes
2023,Gatorade,6.5,7,0.5,yes
2023,Fan Duel,3.23,12.1,8.87,yes
2023,Geico,38.98,25.5,-13.48,no
2023,SAP,31.47,33.54,2.07,yes
2023,Kaiser Permanente,3.42,3.14,-0.28,no
2023,Yum! ,6.84,7.08,0.24,yes
2023,Fanatics,4,8,4,yes
2023,Visa,30.19,33.35,0.24,yes
2023,MasterCard,22.24,25.1,2.86,yes
2023,Google,282.84,307.39,24.55,yes
2023,Verizon,136.84,133.97,-2.87,no
2023,Delta Air Lines,50.58,58.05,7.47,yes
2023,Nike,49.11,51.54,2.43,yes
2023,Bet MGM,1.44,1.96,0.52,yes
2023,Amazon,513.98,574.97,60.99,yes
2023,Google Cloud,26.08,33.088,7.008,yes
2023,You Tube TV,31.5,29.2,-2.3,no
2023,Meta,116.61,134.9,18.29,yes
2023,PayPal,27.52,29.77,2.25,yes
2023,UPS,100.34,90.96,-9.38,no
2023,United Airlines,44.96,52.49,7.53,yes
2023,FedEx,94.09,87.95,-6.14,no
2023,McDonald's,23.18,25.49,2.31,yes
2023,Walmart,600.11,638.79,38.68,yes
2023,Disney,84.42,88.94,4.52,yes
2023,DraftKings,2.24,3.67,1.43,yes
2023,Under Armour,5.81,5.77,-0.04,no
2023,ESPN,84.1,88.93,4.83,yes
2023,Mountain Dew,86.392,91.47,5.078,yes
2023,Wipro,11.05,11.13,0.08,yes
2023,Infosys,17.94,18.55,0.61,yes
2023,Goodyear,20.81,20.07,-0.74,no
2023,TNT,,7.5,7.5,yes
2023,Tencent,82.03,85.01,2.98,yes
2023,Hulu,10.7,11.2,0.5,yes
2023,TCL,24.2,24.9,0.7,yes
2023,Western Union,4.48,4.36,-0.12,no
2023,Powerade,1.1,1.2,0.1,yes
2023,Coca Cola,45.3,48.2,2.9,yes
2023,ABC,241.81,254.52,12.71,yes
2023,Geico,38.9,39.8,0.9,yes
2023,Wells Fargo,73.99,82.6,8.61,yes
2023,Humana,92.87,106.37,13.5,yes
2023,Prudential,60.05,50.894,-9.156,no
2023,Taco Bell,6.842,7.076,0.234,yes
